,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,1,1100,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,0.061716,-0.3573535,-1.880533
1,1,1300,0.133993,0.113667,-0.138124,-0.200102,-0.106163,0.219107,-1.18153,-0.265472,0.331048,0.1506015,-1.880533
2,1,1500,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.061716,0.1506015,-1.880533
3,1,1500,-0.031859,-4.097494,0.062752,1.02024,0.515645,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
4,0,1700,0.334598,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
5,1,1700,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.061716,-0.3573535,1.586086
6,1,1800,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,-2.444277,-1.18153,-0.265472,0.061716,0.1506015,-1.880533
7,1,1800,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,0.331048,-0.3573535,1.586086
8,1,2000,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,-1.18153,-1.279744,0.061716,0.1506015,-1.880533
9,1,2000,-0.031859,0.113667,-0.138124,-0.654481,-0.077638,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
10,1,2000,-0.377842,-4.097494,0.062752,1.02024,-0.077638,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-1.880533
11,1,2000,-0.377842,-0.569429,-0.138124,0.35948,-0.077638,0.219107,-0.724536,-0.265472,0.061716,-0.3573535,-1.880533
12,1,2000,0.0049965,0.113667,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,-0.19352,0.1506015,-1.880533
13,0,2000,0.133993,0.113667,0.062752,-0.200102,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,-1.880533
14,1,2100,0.133993,0.113667,-0.138124,-0.200102,-0.106163,0.219107,-0.724536,-0.265472,0.331048,0.1506015,-1.880533
15,1,2200,-0.377842,-0.569429,-0.138124,-0.200102,0.515645,0.219107,-0.724536,-1.279744,0.331048,-0.3573535,-1.880533
16,1,2200,0.334598,0.346419,-0.138124,-0.200102,-0.106163,1.441137,0.0,-0.265472,0.061716,0.1506015,-1.880533
17,1,2200,-0.377842,-4.097494,0.062752,1.02024,-0.077638,0.574296,0.4963185,-0.308073,0.331048,-0.16008825,-0.878618
18,1,2300,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,0.4963185,-1.298188,0.061716,0.1506015,-1.880533
19,0,2300,0.0049965,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
20,1,2300,-0.377842,-0.569429,-0.138124,-0.200102,-0.106163,0.219107,-0.724536,-0.265472,0.061716,0.1506015,-1.880533
21,1,2400,0.0049965,0.113667,-0.138124,0.35948,-0.106163,-0.937529,0.4963185,-0.308073,0.061716,-1.12374,-1.880533
22,1,2400,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,-0.19352,0.1506015,-1.880533
23,1,2400,-0.377842,-4.097494,-0.138124,-0.200102,0.515645,0.574296,-1.18153,-0.265472,0.331048,0.1506015,-1.880533
24,1,2400,-0.031859,-0.569429,-0.138124,-0.200102,0.515645,0.219107,0.4963185,-1.298188,-0.6550004,-1.12374,-1.880533
25,1,2400,-0.377842,-0.569429,-0.138124,-0.200102,-0.077638,0.219107,0.4963185,-0.265472,0.061716,0.1506015,1.586086
26,0,2400,0.334598,0.346419,-0.138124,0.35948,-0.106163,0.219107,0.4963185,-0.265472,0.331048,0.1506015,1.586086
